,id,name,country_code,country,hand,age,url,date_accessed
1472,18294,DAI Huili,CHN,CHINA,Left,32,https://fie.org/athletes/18294,2021-05-13 21:30:21
1473,32639,LALEZARIAN Amanda,SWE,SWEDEN,Right,25,https://fie.org/athletes/32639,2021-05-13 21:57:22
1474,30642,KARIMOVA Karolina,KAZ,KAZAKHSTAN,Left,25,https://fie.org/athletes/30642,2021-05-13 21:49:51
1475,49103,KISIELEWSKA Alicja,POL,POLAND,Right,17,https://fie.org/athletes/49103,2021-05-13 21:57:32
1476,45021,BALESTRIERI Arianna,GBR,GREAT BRITAIN,Left,21,https://fie.org/athletes/45021,2021-05-13 21:41:30
1477,30706,LAU Ysien,SGP,SINGAPORE,Right,23,https://fie.org/athletes/30706,2021-05-13 21:50:13
1478,49185,LAI Celeste Eugenia,ARG,ARGENTINA,Right,17,https://fie.org/athletes/49185,2021-05-13 21:19:24
1479,49239,KLOCKHAUS Emily,GER,GERMANY,Right,17,https://fie.org/athletes/49239,2021-05-13 21:19:38
1480,49256,LI Grace,USA,USA,Right,17,https://fie.org/athletes/49256,2021-05-13 21:19:45
1481,49257,JING Alexandra,USA,USA,Right,16,https://fie.org/athletes/49257,2021-05-13 21:19:46
1482,32886,POZZAN Caterina,ITA,ITALY,Right,23,https://fie.org/athletes/32886,2021-05-13 21:19:47
1483,49285,MIKA Emma,FRA,FRANCE,Left,17,https://fie.org/athletes/49285,2021-05-13 21:19:52
1484,32905,ENACHE Alina,ROU,ROMANIA,Right,24,https://fie.org/athletes/32905,2021-05-13 21:19:57
1485,32903,VARGA Anett,ROU,ROMANIA,Right,25,https://fie.org/athletes/32903,2021-05-13 21:19:57
1486,49295,FOUDALI Douaa,MAR,MOROCCO,Right,19,https://fie.org/athletes/49295,2021-05-13 21:19:58
1487,49313,FIGUEREDO SULIVERES Arelis,PUR,PUERTO RICO,Right,19,https://fie.org/athletes/49313,2021-05-13 21:20:03
1489,49324,SAITANI Konstantina,GRE,GREECE,Left,18,https://fie.org/athletes/49324,2021-05-13 21:20:10
1490,49336,MOSQUERA ROJAS Priscila Mayerly,ECU,ECUADOR,Right,18,https://fie.org/athletes/49336,2021-05-13 21:20:12
1491,49344,RINCON  ARENAS Luisa Fernanda,COL,COLOMBIA,Right,20,https://fie.org/athletes/49344,2021-05-13 21:20:13
1492,33004,KOPYTSYA Anastasiya,UKR,UKRAINE,Right,25,https://fie.org/athletes/33004,2021-05-13 21:20:15
1493,33005,ROI Veronika,UKR,UKRAINE,Right,25,https://fie.org/athletes/33005,2021-05-13 21:20:16
1494,49531,HE Xiangxin,CAN,CANADA,Right,16,https://fie.org/athletes/49531,2021-05-13 21:20:48
1495,49532,WU Catherine,CAN,CANADA,Right,16,https://fie.org/athletes/49532,2021-05-13 21:20:48
1496,41523,SICARI Michela,AUS,AUSTRALIA,Left,20,https://fie.org/athletes/41523,2021-05-13 21:21:11
1497,33397,ZHOU Anna,USA,USA,Right,22,https://fie.org/athletes/33397,2021-05-13 21:21:46
1498,41787,PATEL Serena,GBR,GREAT BRITAIN,Left,21,https://fie.org/athletes/41787,2021-05-13 21:22:38
1499,41845,GRANVILLE Rhiannon,GBR,GREAT BRITAIN,Left,23,https://fie.org/athletes/41845,2021-05-13 21:22:52
1500,50074,ULASAVA Darya,BLR,BELARUS,Right,16,https://fie.org/athletes/50074,2021-05-13 21:22:55
1501,41899,DICZHAZI Rita,HUN,HUNGARY,Right,23,https://fie.org/athletes/41899,2021-05-13 21:22:57
1502,41902,GUBA Bibor,HUN,HUNGARY,Right,19,https://fie.org/athletes/41902,2021-05-13 21:22:59
1503,41910,GERGELY Luca,HUN,HUNGARY,Right,22,https://fie.org/athletes/41910,2021-05-13 21:23:01
1504,41912,CSIPAN Reka,HUN,HUNGARY,Right,20,https://fie.org/athletes/41912,2021-05-13 21:23:02
1505,41986,KOCSIS Alexandra,HUN,HUNGARY,Right,19,https://fie.org/athletes/41986,2021-05-13 21:23:16
1506,33840,ZHAO Jenny,CAN,CANADA,Right,23,https://fie.org/athletes/33840,2021-05-13 21:23:30
1507,50232,FAN Linna,HKG,"HONG KONG, CHINA",Left,20,https://fie.org/athletes/50232,2021-05-13 21:23:36
1508,42083,LEVINA Liubou,BLR,BELARUS,Right,21,https://fie.org/athletes/42083,2021-05-13 21:23:50
1509,42084,OSWALD Julia,AUT,AUSTRIA,Right,22,https://fie.org/athletes/42084,2021-05-13 21:23:51
1510,33904,EGYUD Luca,HUN,HUNGARY,Right,23,https://fie.org/athletes/33904,2021-05-13 21:23:52
1511,42123,TAKADA Maho,JPN,JAPAN,Left,22,https://fie.org/athletes/42123,2021-05-13 21:23:57
1512,42124,ENDO Rina,JPN,JAPAN,Left,23,https://fie.org/athletes/42124,2021-05-13 21:23:57
1513,34002,IZUMISAWA Kanna,JPN,JAPAN,Right,23,https://fie.org/athletes/34002,2021-05-13 21:24:23
